moment	social
It was my birthday, and my wife and daughter surprised me with some surprise guests and a small party.	yes
The weather has been warm and gorgeous for the first time in a long time and I'm loving it.	no
Yesterday, my boyfriend and I went to a beautiful secluded beach and explored.	yes
I bought a new cell phone for my dad.	yes
I got news from my supervisor that my request for a 7 day extension on my history project was approved.	yes
I ordered my favorite burrito from my favorite restaurant and it was DE-LISH!	no
I watched some really good episodes of The believers voice of victory with George Pearsons and Gloria Copeland, they talked about promotion.	no
I was very happy when I got up this morning and both my kids were still asleep so I could relax and drink some coffee!	yes
Is my sister's birthday tomorrow and I managed to found the perfect gift today.	yes
I got new underwear in the mail that I had purchased online.	no
I was able to leave work early.	no
MY BOY FRIEND LOVE FEELING	yes
Going swimming with my girlfriend was a fun experience.	yes
I was walking with my friend smoking a cigarrette and checking the mail box.	yes
My team won a game in the UEFA Champion's League and will most likely continue on to the finals.	yes
I removed overgrown tree limbs from a large tree in my backyard, while my daughter and her friend played outside.	yes
Family gathering after grandmas death and contemplating on her long, filled life.	yes
My grandson went on a trip to Sweden with his college professor and wrote a blog about his experience that was published in the local newspaper.	yes
I sat out by the pool.	no
My friend bought me a game unexpectedly because I had really been wanting it	yes
I was able to run a 7:30 mile for three miles after not running as frequently as I felt I should have been.	no
My cat was cute and I got a nice picture of her.	yes
I made it to work without traffic.	no
My father gifted me the latest bike last week which i was eagerly wanted, very happy.	yes
Saw Beauty and the Beast with family members.	yes
Found out my girlfriend is going to spend a month in California learning and perfecting her trade.	yes
The day I married my spouse	yes
Purchased New Audio System	no
yesterday my father got a promotion at government of india my father and my family members very happy that moment	yes
I went away with my family for a short vacation to Hershey Park, Pa.	yes
One thing that made me happy in the last 24 hours was taking a nice hot shower.	no
I got to hear Irish bagpipes as I drove.	no
I was selected to take training at work.	yes
I got a computer desk.	no
I listened to new music from a band my boyfriend show me and it was really good listening.	yes
Another event that made me happy in the past 3 months was when I won a sports betting tournament and won $500.	yes
Found a way to consolidate all my credit card reward miles to take a round trip with my girlfriend when I want to.	yes
Today my son kissed me in the early morning saying Good Morning to me  which made me feel very happy	yes
Finding a lost cat.	no
My son fell asleep in my arms last night.	yes
Got tickets to a great show.	no
My favorite show was on last night, Designated Survivor, and I loved it and was perplexed at the same time!	no
In the past 24 hours I went for shopping with my mom n sister n did lots of shopping	yes
We went out on a day trip to a bigger city and shopped.	no
I ate my favorite candy - kit kats!	no
I went to a friend's barbecue and had some delicious food and good fun.	yes
One event that made me happy was when my co-worker attended a meeting in my place.	yes
Meeting my online friend from 10 years that i have talked with for literally every day two weeks ago.	yes
My niece cooked for me	yes
Getting a long weekend leave on easter after a hectic period of working weeks.	no
I started learning a bellydance choreography in last night's class; it's a staple of the studio and actually takes some athleticism	yes
I had hotcakes for breakfast this morning made my happy today.	no
I had a piece of cookie cake at lunch today, and it was delicious!	no
I got a bonus at work for meeting my goal.	no
When my best friend invited me to dinner with him and his family.	yes
"My little sister got her CDL""s which made me so proud of her."	yes
I went out and played tennis for an hour and a half.	no
WE HAVE TO TRAVELLING THE UNITED STATES AND IT SAW MANY ATTRACTIVE  PLACE IT   SAW MANY ATTRACTIVE PLACE IT  WAS HAPPINESS IN MY LIFE	yes
I got a positive reply from a very attractive girl on a dating site.	yes
I wanted to get lunch, but I didn't feel like going anywhere, but I remembered I had some pizza in the fridge.	no
I WENT TO TEMPLE	no
Having my future daughter reach 35 weeks in my wife's womb.	yes
That my family could all get together for my grandmothers 90th birthday.	yes
My uncle whi is my unwanted house guest with no intentions of moving stayed out for  2 days .	yes
Two months before i went to Dog Training Program and i was learned how to control my puppy and i was very happy that my puppy was obeying my instructions.	no
I completed a mission in a video game.	no
I got an A in a hard computer science class in grad school.	no
I was correct in my task at work.	no
I enjoyed a cappuccino at my favorite coffee shop.	yes
I had the opportunity to take a nap during the day, which was seriously needed.	no
I started learning some new web development stuff and started feeling comfortable with some of the stuff I had kinda only hacked together previously.	no
Playing video games for 15 mins each week.	no
I felt I had done a good job on a project at work.	no
I taught my neighbor how to change a flat tire.	yes
I bought a new pair of running shoes that I really love.	no
I made a dish at home for family and we all ate together merrily.	yes
I was able to be Dungeon Master in a Dungeons and Dragons game for the first time, with a group of my friends.	yes
Going golfing with my dad and brother made me happy.	yes
I was made very happy when I was working with my students and they were able to create and play their own music in about an hour.	yes
I received compliments for the chicken dinner that I made tonight.	yes
Hearing my favorite song on the radio.	no
My mother in-law cooked a delicious dinner for the family last night.	yes
Got fertilizer, weed and feed, grass seed and straw down this evening prior to 3 days of rain this week.	no
I started dieting better and feel better for it.	no
I discovered I could do a lot more than I thought I could in the game Pokemon Picross by searching around the screen more than usual.	no
"Progressing a little further through my 15th guitar song I'm now learning called ""We Three Kings""."	no
Going out to dinner with my family for my birthday to celebrate together.	yes
Receiving too much change at a store.	yes
"I ordered some cat food a few weeks ago, and to reach the ""free shipping"" amount I got a few cat toys, my cat really seems to like them."	no
My coworker just received news that she had an accepted offer on her home.	yes
Learned that a job interview had gotten scheduled for a position I'm somewhat interested in.	no
I found a new girlfriend.	yes
We are Purchased a New car	yes
I made fish tacos following a reciepe that I found online and it turned out great.	no
I got two job offers on the same week.	no
I saw my niece and got to hold her and play with her, she is only like 7 months old as of now so it was cute.	yes
